medstat_id,medstat_name,n_municipalities,municipalities,any_ambiguous
BE15,Bolligen-Worbletal,4,Bolligen; Ostermundigen; Stettlen; Vechigen,TRUE
BE16,NA,NA,NA,NA
BE17,Muri,3,Allmendingen; Muri bei Bern; Rubigen,TRUE
BE18,Worb,1,Worb,TRUE
BE19,NA,NA,NA,NA
BE20,NA,NA,NA,NA
BE21,Belp-Kehrsatz,2,Kehrsatz; Toffen,TRUE
BE22,Wangental-Scherli,2,Köniz; Oberbalm,TRUE
BE23,Schönbühl,4,Bäriswil; Mattstetten; Moosseedorf; Urtenen-Schönbühl,TRUE
BE24,Jegenstorf,3,Iffwil; Jegenstorf; Zuzwil (BE),FALSE
BE25,Ins-Grosses Moos,7,Erlach; Gals; Gampelen; Ins; Müntschemier; Tschugg; Vinelz,TRUE
BE26,Aarberg,3,Aarberg; Radelfingen; Seedorf (BE),TRUE
BE27,Kallnach-Grosses Moos,10,Bargen (BE); Brüttelen; Epsach; Finsterhennen; Kallnach; Kappelen; Lüscherz; Siselen; Treiten; Walperswil,TRUE
BE28,Lyss,1,Lyss,TRUE
BE29,Diessbach-Worben,4,Büetigen; Diessbach bei Büren; Dotzigen; Worben,TRUE
BE30,Lyssbach-Limpach,3,Grossaffoltern; Rapperswil (BE); Wengi,TRUE
BE31,NA,NA,NA,NA
BE32,Biel/Bienne-Madretsch,2,Brügg; Nidau,TRUE
BE33,Biel/Bienne-Bözingen,1,Orpund,TRUE
BE34,Nördlicher Bielersee,5,Biel/Bienne; Evilard; La Neuveville; Ligerz; Twann-Tüscherz,TRUE
BE35,Orpund-Pieterlen,4,Pieterlen; Safnern; Scheuren; Schwadernau,FALSE
BE36,Brügg-Studen,2,Aegerten; Studen (BE),FALSE
BE37,Nidau-Port,1,Port,FALSE
BE38,Südlicher Bielersee,10,Bühl; Bellmund; Hagneck; Hermrigen; Ipsach; Jens; Mörigen; Merzligen; Sutz-Lattrigen; Täuffelen,TRUE
BE39,La Neuveville,4,Corgémont; Nods; Orvin; Plateau de Diesse,TRUE
BE40,Basse Suze,5,Cortébert; Péry-La Heutte; Romont (BE); Sauge; Sonceboz-Sombeval,TRUE
BE41,Tavannes-Pichoux,7,Loveresse; Petit-Val; Rebévelier; Reconvilier; Saicourt; Saules (BE); Tavannes,TRUE
BE42,Court,4,Champoz; Court; Sorvilier; Valbirse,FALSE
BE43,Moutier,9,Belprahon; Corcelles (BE); Crémines; Eschert; Grandval; Moutier; Perrefitte; Roches (BE); Seehof,TRUE
BE44,Herzogenbuchsee,2,Herzogenbuchsee; Niederönz,TRUE
BE45,Thörigen-Seeberg,7,Aeschi (SO); Bettenhausen; Bleienbach; Lotzwil; Ochlenberg; Seeberg; Thörigen,TRUE
BE46,Wangen an der Aare,8,Bannwil; Berken; Graben; Heimenhausen; Inkwil; Walliswil bei Niederbipp; Walliswil bei Wangen; Wangen an der Aare,TRUE
BE47,Madiswil-Oeschenbach,6,Dürrenroth; Madiswil; Oeschenbach; Rütschelen; Ursenbach; Walterswil (BE),TRUE
BE48,Huttwil-Dürrenroth,7,Auswil; Eriswil; Huttwil; Rohrbach; Rohrbachgraben; Ufhusen; Wyssachen,TRUE
BE49,Attiswil-Bipp,6,Attiswil; Farnern; Niederbipp; Oberbipp; Rumisberg; Wiedlisbach,TRUE
BE50,NA,NA,NA,NA
BE51,Aarwangen,3,Aarwangen; Schwarzhäusern; Thunstetten,FALSE
BE52,Roggwil-Murg,6,Busswil bei Melchnau; Gondiswil; Langenthal; Reisiswil; Roggwil (BE); Wynau,TRUE
BE53,Fraubrunnen-Bätterkinden,3,Bätterkinden; Fraubrunnen; Kernenried,TRUE
BE54,Hindelbank,5,Hindelbank; Krauchthal; Lyssach; Oberburg; Rüti bei Lyssach,TRUE
BE55,Burgdorf,1,Kirchberg (BE),TRUE
BE56,Hasle-Oberburg,3,Burgdorf; Hasle bei Burgdorf; Heimiswil,TRUE
BE57,Sumiswald,3,Affoltern im Emmental; Rüegsau; Sumiswald,TRUE
BE58,Lützelflüh,2,Lützelflüh; Trachselwald,TRUE
BE59,Kirchberg,2,Aefligen; Rüdtligen-Alchenflüh,FALSE
BE60,Wynigen,8,Alchenstorf; Ersigen; Höchstetten; Hellsau; Koppigen; Rumendingen; Willadingen; Wynigen,TRUE
BE61,Utzenstorf,2,Utzenstorf; Wiler bei Utzenstorf,FALSE
BE62,Zollbrück,5,Bowil; Landiswil; Lauperswil; Rüderswil; Signau,TRUE
BE63,Oberes Emmental,6,Eggiwil; Habkern; Oberlangenegg; Röthenbach im Emmental; Schangnau; Wachseldorn,TRUE
BE64,NA,NA,NA,NA
BE65,Trub-Napf,3,Langnau im Emmental; Trub; Trubschachen,TRUE
BE66,Grosshöchstetten,7,Arni (BE); Biglen; Grosshöchstetten; Mirchel; Oberthal; Walkringen; Zäziwil,TRUE
BE67,Münsingen,1,Münsingen,TRUE
BE68,Konolfingen,6,Freimettigen; Häutligen; Konolfingen; Niederhünigen; Oberhünigen; Wichtrach,TRUE
BE69,Wichtrach,3,Jaberg; Kiesen; Oppligen,FALSE
BE70,Gürbetal,6,Belp; Gerzensee; Kaufdorf; Kirchdorf (BE); Riggisberg; Thurnen,TRUE
BE71,Seftigen-Wattenwil,5,Burgistein; Forst-Längenbühl; Gurzelen; Seftigen; Wattenwil,TRUE
BE72,Oberdiessbach,5,Brenzikofen; Heimberg; Herbligen; Linden; Oberdiessbach,TRUE
BE73,Schwarzenburg,3,Guggisberg; Rüschegg; Schwarzenburg,FALSE
BE74,Wald-Riggisberg,3,Niedermuhlern; Rüeggisberg; Wald (BE),TRUE
BE75,NA,NA,NA,NA
BE76,Thun-Westring,3,Reutigen; Thun; Uetendorf,TRUE
BE77,NA,NA,NA,NA
BE78,Steffisburg,2,Fahrni; Steffisburg,TRUE
BE79,Goldiwil-Schattenhalb,7,Buchholterberg; Eriz; Heiligenschwendi; Homberg; Horrenbach-Buchen; Teuffenthal (BE); Unterlangenegg,TRUE
BE80,Hilterfingen-Sigriswil,3,Hilterfingen; Oberhofen am Thunersee; Sigriswil,TRUE
BE81,Heimberg-Uetendorf,1,Uttigen,FALSE
BE82,Stockental,6,Amsoldingen; Blumenstein; Pohlern; Stocken-Höfen; Thierachern; Uebeschi,FALSE
BE83,Spiez,4,Aeschi bei Spiez; Krattigen; Spiez; Wimmis,TRUE
BE84,Niedersimmental,4,Därstetten; Diemtigen; Erlenbach im Simmental; Oberwil im Simmental,TRUE
BE85,Saanenland,3,Gsteig; Lauenen; Saanen,FALSE
BE86,Obersimmental,4,Boltigen; Lenk; St. Stephan; Zweisimmen,TRUE
BE87,Frutigen-Adelboden,2,Adelboden; Frutigen,TRUE
BE88,Kandertal-Kiental,3,Kandergrund; Kandersteg; Reichenbach im Kandertal,TRUE
BE89,Interlaken,6,Beatenberg; Därligen; Interlaken; Leissigen; Matten bei Interlaken; Unterseen,TRUE
BE90,Lauterbrunnen,5,Gündlischwand; Gsteigwiler; Lauterbrunnen; Saxeten; Wilderswil,TRUE
BE91,Brienzersee,7,Bönigen; Brienz (BE); Iseltwald; Niederried bei Interlaken; Oberried am Brienzersee; Ringgenberg (BE); Schwanden bei Brienz,FALSE
BE92,Grindelwald,2,Grindelwald; Lütschental,TRUE
BE93,Oberhasli,7,Brienzwiler; Guttannen; Hasliberg; Hofstetten bei Brienz; Innertkirchen; Meiringen; Schattenhalb,FALSE
BE94,Lengnau,2,Lengnau (BE); Meinisberg,FALSE
BE95,Büren-Arch,6,Arch; Büren an der Aare; Leuzigen; Meienried; Oberwil bei Büren; Rüti bei Büren,FALSE
BE96,Gümmenen-Exklaven,7,Ferenbalm; Gurbrü; Kerzers; Kriechenwil; Mühleberg; Münchenwiler; Wileroltigen,TRUE
BE97,Laupen-Neuenegg,2,Laupen; Neuenegg,TRUE
BE98,Erguel,9,Cormoret; Courtelary; La Chaux-de-Fonds; La Ferrière; Les Bois; Renan (BE); Saint-Imier; Sonvilier; Villeret,TRUE
BE99,Tramelan,2,Mont-Tramelan; Tramelan,FALSE
BL01,Oberes Laufental,12,Bärschwil; Brislach; Burg im Leimental; Dittingen; Ederswiler; Kleinlützel; Laufen; Liesberg; Röschenz; Roggenburg; Wahlen; Zwingen,TRUE
BL02,Unteres Laufental,5,Aesch (BL); Blauen; Duggingen; Grellingen; Nenzlingen,TRUE
BL03,Binningen,2,Binningen; Bottmingen,TRUE
BL04,Unteres Birsig,1,Oberwil (BL),FALSE
BL05,Oberes Birsig,4,Bättwil; Biel-Benken; Ettingen; Therwil,TRUE
BL06,Allschwil-Schönenbuch,2,Allschwil; Schönenbuch,FALSE
BL07,Birsfelden,2,Birsfelden; Muttenz,TRUE
BL08,NA,NA,NA,NA
BL09,Pratteln-Augst,3,Augst; Frenkendorf; Pratteln,TRUE
BL10,Münchenstein,1,Münchenstein,TRUE
BL11,Arlesheim,2,Arlesheim; Reinach (BL),TRUE
BL12,Oberbirstal,1,Pfeffingen,FALSE
BL13,NA,NA,NA,NA
BL14,Reigoldswilertal,6,Arboldswil; Bretzwil; Lauwil; Reigoldswil; Titterten; Ziefen,TRUE
BL15,Unterergolztal,2,Füllinsdorf; Liestal,TRUE
BL16,Liestal,1,Bubendorf,TRUE
BL17,Bubendorf,4,Lampenberg; Lupsingen; Ramlinsburg; Seltisberg,TRUE
BL18,Sissach-Lausen,5,Böckten; Itingen; Lausen; Sissach; Thürnen,TRUE
BL19,Oberergolz-Buus,10,Anwil; Buus; Hemmiken; Hersberg; Maisprach; Nusshof; Ormalingen; Rickenbach (BL); Rothenfluh; Wintersingen,TRUE
BL20,Oberhauenstein,7,Hölstein; Holderbank (SO); Langenbruck; Liedertswil; Niederdorf; Oberdorf (BL); Waldenburg,TRUE
BL21,Homburgertal,11,Buckten; Diegten; Diepflingen; Gelterkinden; Häfelfingen; Känerkinden; Läufelfingen; Rümlingen; Rünenberg; Tenniken; Wittinsburg,TRUE
BL22,Diegtertal,3,Bennwil; Eptingen; Zunzgen,TRUE
BL23,Gelterkinden-Eital,5,Kilchberg (BL); Oltingen; Tecknau; Wenslingen; Zeglingen,FALSE
BS01,Basel-City,1,Basel,TRUE
BS02,NA,NA,NA,NA
BS03,NA,NA,NA,NA
BS04,NA,NA,NA,NA
BS05,NA,NA,NA,NA
BS06,NA,NA,NA,NA
BS07,NA,NA,NA,NA
BS08,Basel-Kleinbasel,1,Riehen,TRUE
BS09,NA,NA,NA,NA
BS10,Riehen-Bettingen,1,Bettingen,FALSE
FR01,Gibloux-Nord,4,Autigny; Chénens; Cottens (FR); Gibloux,TRUE
FR02,Fribourg,2,Düdingen; Fribourg,TRUE
FR03,Belfaux,4,Belfaux; Corminboeuf; Grolley-Ponthaux; La Sonnaz,TRUE
FR04,Marly,3,Marly; Pierrafortscha; Villarsel-sur-Marly,TRUE
FR05,Le Mouret,5,Bois-d'Amont; Ferpicloz; La Roche; Le Mouret; Treyvaux,TRUE
FR06,Basse Glâne,6,Avry; Hauterive (FR); La Brillaz; Matran; Neyruz (FR); Prez,TRUE
FR07,Fribourg-Ouest,3,Givisiez; Granges-Paccot; Villars-sur-Glâne,FALSE
FR08,Gibloux-Sud,6,Echarlens; Riaz; Sâles; Semsales; Vaulruz; Vuadens,TRUE
FR09,Bulle,2,Bulle; Le Pâquier (FR),TRUE
FR10,Gibloux-Lac de Gruyère,4,Marsens; Morlon; Pont-en-Ogoz; Sorens,FALSE
FR11,Broc-Berra-Jaun,9,Botterens; Broc; Châtel-sur-Montsalvens; Corbières; Crésuz; Hauteville; Jaun; Pont-la-Ville; Val-de-Charmey,TRUE
FR12,Gruyères-Intyamon,4,Bas-Intyamon; Grandvillard; Gruyères; Haut-Intyamon,TRUE
FR13,Obersense,7,Brünisried; Giffers; Plaffeien; Plasselb; Rechthalten; St. Silvester; Tentlingen,TRUE
FR14,Tafers,4,Heitenried; Schmitten (FR); St. Ursen; Tafers,TRUE
FR15,Untersense,3,Bösingen; Ueberstorf; Wünnewil-Flamatt,TRUE
FR16,NA,NA,NA,NA
FR17,Lac francophone,4,Avenches; Courtepin; Cressier (FR); Misery-Courtion,TRUE
FR18,Vully,1,Mont-Vully,TRUE
FR19,Deutschsprachiger See,4,Gurmels; Kleinbösingen; Murten; Staatswald Galm,TRUE
FR20,Kerzers,2,Fräschels; Ried bei Kerzers,FALSE
FR21,Murten,4,Courgevaux; Greng; Meyriez; Muntelier,FALSE
FR22,Haute-Glâne,4,Le Flon; Rue; Siviriez; Ursy,TRUE
FR23,Gibloux-Ouest,8,Châtonnaye; Grangettes; Le Châtelard; Massonnens; Torny; Villaz; Villorsonnens; Vuisternens-devant-Romont,TRUE
FR24,Châtel-St-Denis,4,Châtel-Saint-Denis; La Verrerie; Remaufens; Saint-Martin (FR),TRUE
FR25,Attalens,3,Attalens; Bossonnens; Granges (Veveyse),TRUE
FR26,Romont,3,Billens-Hennens; Mézières (FR); Romont (FR),FALSE
FR27,Broye-Enclaves,6,Cheyres-Châbles; Cugy (FR); Fétigny-Ménières; Les Montets; Nuvilly; Surpierre,TRUE
FR28,Estavayer,4,Châtillon (FR); Estavayer; Lully (FR); Sévaz,TRUE
FR29,Domdidier,8,Belmont-Broye; Corcelles-près-Payerne; Delley-Portalban; Gletterens; Missy; Montagny (FR); Saint-Aubin (FR); Vallon,TRUE
GE01,Genève-Cornavin,1,Genève,TRUE
GE02,Genève-Servette-Nations,1,Pregny-Chambésy,TRUE
GE03,NA,NA,NA,NA
GE04,NA,NA,NA,NA
GE05,NA,NA,NA,NA
GE06,NA,NA,NA,NA
GE07,NA,NA,NA,NA
GE08,NA,NA,NA,NA
GE09,NA,NA,NA,NA
GE10,Grand-Lancy,2,Lancy; Onex,TRUE
GE11,NA,NA,NA,NA
GE12,Vernier Village,1,Meyrin,TRUE
GE13,Cointrin-Avanchets,1,Vernier,TRUE
GE14,NA,NA,NA,NA
GE15,Le Grand-Saconnex,1,Le Grand-Saconnex,TRUE
GE16,NA,NA,NA,NA
GE17,Cologny-Vésenaz,2,Collonge-Bellerive; Cologny,TRUE
GE18,Chêne-Conches,1,Chêne-Bougeries,FALSE
GE19,Chêne-Bourg,1,Chêne-Bourg,FALSE
GE20,Thônex,1,Thônex,FALSE
GE21,Carouge,1,Carouge (GE),FALSE
GE22,Plan-Perly,4,Bardonnex; Confignon; Perly-Certoux; Plan-les-Ouates,TRUE
GE23,Bernex-Confignon,1,Bernex,TRUE
GE24,Veyrier-Troinex,2,Troinex; Veyrier,FALSE
GE25,Mandement-Vallée du Rhône,10,Aire-la-Ville; Avully; Avusy; Cartigny; Chancy; Dardagny; Laconnex; Russin; Satigny; Soral,TRUE
GE26,Léman Rive Droite,3,Bellevue; Collex-Bossy; Genthod,TRUE
GE27,Vandoeuvres-Campagne,7,Choulex; Gy; Jussy; Meinier; Presinge; Puplinge; Vandoeuvres,FALSE
GE28,Collonge-Hermance,3,Anières; Corsier (GE); Hermance,FALSE
GE29,Versoix-Céligny,4,Céligny; Chavannes-des-Bois; Mies; Versoix,TRUE
GL01,Glarus,1,Glarus,TRUE
GL02,NA,NA,NA,NA
GL03,Ziegelbrücke,1,Glarus Nord,TRUE
GL04,NA,NA,NA,NA
GL05,Linthal,1,Glarus Süd,TRUE
GL06,NA,NA,NA,NA
GR01,NA,NA,NA,NA
GR02,Unterimboden,4,Bonaduz; Felsberg; Rhäzüns; Tamins,TRUE
GR03,Domat/Ems,1,Domat/Ems,FALSE
GR04,Fünf Dörfer,3,Trimmis; Untervaz; Zizers,TRUE
GR05,Landquart,2,Landquart; Maienfeld,TRUE
GR06,Maienfeld,3,Fläsch; Jenins; Malans,FALSE
GR07,Unteres Prättigau,5,Furna; Grüsch; Jenaz; Schiers; Seewis im Prättigau,FALSE
GR08,Klosters-Oberes Prättigau,5,Conters im Prättigau; Fideris; Küblis; Klosters; Luzein,TRUE
GR09,Davos,1,Davos,TRUE
GR10,Schanfigg,2,Arosa; Chur,TRUE
GR11,Churwalden-Lenzerheide,3,Churwalden; Lantsch/Lenz; Vaz/Obervaz,TRUE
GR12,Albula-Surses,4,Albula/Alvra; Bergün Filisur; Schmitten (GR); Surses,FALSE
GR13,Domleschg-Unterheizenberg,8,Cazis; Domleschg; Fürstenau; Masein; Rothenbrunnen; Scharans; Sils im Domleschg; Thusis,TRUE
GR14,Thusis-Viamala-Rheinwald,11,Andeer; Avers; Ferrera; Flerden; Muntogna da Schons; Rheinwald; Rongellen; Sufers; Tschappina; Urmein; Zillis-Reischen,FALSE
GR15,Flims-Laax,4,Falera; Flims; Laax; Trin,TRUE
GR16,Lumnezia-Vals-Safien,4,Ilanz/Glion; Lumnezia; Safiental; Vals,TRUE
GR17,Ilanz,3,Obersaxen Mundaun; Sagogn; Schluein,TRUE
GR18,Ruis,2,Breil/Brigels; Trun,FALSE
GR19,Disentis,4,Disentis/Mustér; Medel (Lucmagn); Sumvitg; Tujetsch,TRUE
GR20,Engiadina bassa,4,Samnaun; Scuol; Valsot; Zernez,FALSE
GR21,Val Müstair,1,Val Müstair,FALSE
GR22,St.Moritz,6,Celerina/Schlarigna; Pontresina; Samedan; Sils im Engadin/Segl; Silvaplana; St. Moritz,TRUE
GR23,Engiadin 'ota,5,Bever; La Punt Chamues-ch; Madulain; S-chanf; Zuoz,FALSE
GR24,Val Bregaglia,1,Bregaglia,TRUE
GR25,Bernina,2,Brusio; Poschiavo,FALSE
GR26,Mesolcina,12,Buseno; Calanca; Cama; Castaneda; Grono; Lostallo; Mesocco; Rossa; Roveredo (GR); San Vittore; Santa Maria in Calanca; Soazza,TRUE
JU01,Les Franches-Montagnes,10,Lajoux (JU); Le Bémont (JU); Le Noirmont; Les Breuleux; Les Enfers; Les Genevez (JU); Montfaucon; Muriaux; Saignelégier; Saulcy,TRUE
JU02,Delémont,7,Bourrignon; Delémont; Develier; Mettembert; Movelier; Pleigne; Soyhières,TRUE
JU03,La Sorne,5,Boécourt; Châtillon (JU); Courtételle; Haute-Sorne; Rossemaison,TRUE
JU04,Val Terbi,7,Beinwil (SO); Courchapoix; Courrendlin; Courroux; Mervelier; Schelten; Val Terbi,TRUE
JU05,Clos-du-Doubs-Courgenay,5,Clos du Doubs; Courgenay; Fontenais; Saint-Brais; Soubey,TRUE
JU06,Porrentruy,2,Courtedoux; Porrentruy,TRUE
JU07,Basse-Allaine-Damvant,7,Basse-Allaine; Boncourt; Bure; Courchavon; Fahy; Grandfontaine; Haute-Ajoie,FALSE
JU08,Haute-Allaine-Bonfol,7,Alle; Basse-Vendline; Coeuve; Cornol; Damphreux-Lugnez; La Baroche; Vendlincourt,TRUE
LU01,NA,NA,NA,NA
LU02,Luzern-Löwen,1,Ebikon,TRUE
LU03,NA,NA,NA,NA
LU04,Luzern-Dreilinden-Seeburg,1,Meggen,TRUE
LU05,Kriens,2,Hergiswil (NW); Kriens,TRUE
LU06,Malters-Eigental,2,Malters; Schwarzenberg,TRUE
LU07,Littau-Reussbühl,1,Luzern,TRUE
LU08,Emmenbrücke,1,Emmen,TRUE
LU09,Rothenburg-Hildisrieden,4,Hildisrieden; Rain; Rothenburg; Sempach,TRUE
LU10,Ebikon,1,Adligenswil,TRUE
LU11,Emmen-Inwil,3,Ballwil; Eschenbach (LU); Inwil,TRUE
LU12,Luzernes Reusstal,4,Buchrain; Dierikon; Gisikon; Root,TRUE
LU13,Sonnseite,2,Meierskappel; Udligenswil,FALSE
LU14,NA,NA,NA,NA
LU15,Horw,1,Horw,TRUE
LU16,Neuenkirch,1,Neuenkirch,TRUE
LU17,Beromünster,3,Beromünster; Rickenbach (LU); Schenkon,TRUE
LU18,Hochdorf,2,Hochdorf; Römerswil,TRUE
LU19,Seetal,4,Aesch (LU); Ermensee; Hitzkirch; Schongau,TRUE
LU20,Nördlicher Sempachersee,1,Eich,FALSE
LU21,Südlicher Sempachersee,4,Knutwil; Mauensee; Nottwil; Oberkirch,TRUE
LU22,Sursee,1,Sursee,FALSE
LU23,Oberes Suhretal,4,Büron; Geuensee; Schlierbach; Triengen,FALSE
LU24,Lindenberg,1,Hohenrain,TRUE
LU25,Ruswil-Grosswangen,3,Buttisholz; Grosswangen; Ruswil,TRUE
LU26,Wolhusen,3,Doppleschwand; Werthenstein; Wolhusen,TRUE
LU27,Willisau,3,Hergiswil bei Willisau; Menznau; Willisau,TRUE
LU28,Oberes Wiggertal,4,Alberswil; Altishofen; Ettiswil; Schötz,TRUE
LU29,Rottal-Luthern,6,Altbüron; Fischbach; Grossdietwil; Luthern; Melchnau; Zell (LU),TRUE
LU30,Santenberg-Wauwilermoos,4,Dagmersellen; Egolzwil; Nebikon; Wauwil,TRUE
LU31,Unteres Entlebuch,3,Entlebuch; Hasle (LU); Romoos,TRUE
LU32,Mittleres Entlebuch - Mariental,3,Flühli; Giswil; Schüpfheim,TRUE
LU33,Oberes Entlebuch,1,Escholzmatt-Marbach,TRUE
LU34,Weggis,3,Greppen; Vitznau; Weggis,FALSE
LU35,Luzernes Wiggertal,2,Reiden; Wikon,TRUE
LU36,Pfaffnau,2,Pfaffnau; Roggliswil,TRUE
NE01,NA,NA,NA,NA
NE02,Peseux-Corcelles,3,Milvignes; Neuchâtel; Rochefort,TRUE
NE03,Colombier-Gorges de l'Areuse,1,Boudry,TRUE
NE04,Boudry-Areuse,1,Cortaillod,TRUE
NE05,Bevaix-Béroche,2,Concise; La Grande Béroche,TRUE
NE06,Seyon-Vue des Alpes,1,Val-de-Ruz,TRUE
NE07,NA,NA,NA,NA
NE08,Marin-St-Blaise,1,Laténa,TRUE
NE09,Canal de Thielle,4,Cornaux; Cressier (NE); Le Landeron; Lignières,TRUE
NE10,Sagne-Martel-Brévine,7,Brot-Plamboz; La Brévine; La Chaux-du-Milieu; La Sagne; Le Cerneux-Péquignot; Les Ponts-de-Martel; Les Verrières,TRUE
NE11,Le Locle,1,Le Locle,FALSE
NE12,La Chaux-de-Fonds,1,Les Planchettes,FALSE
NE13,Bas Val de Travers,2,Provence; Val-de-Travers,TRUE
NE14,Haut Val de Travers,1,La Côte-aux-Fées,FALSE
NW01,Pilatus-Bürgenstock,1,Stansstad,FALSE
NW02,Stans,2,Ennetmoos; Stans,TRUE
NW03,Bürgenstock-Seelisberg,4,Beckenried; Buochs; Emmetten; Ennetbürgen,TRUE
NW04,Engelbergeraatal,4,Dallenwil; Engelberg; Oberdorf (NW); Wolfenschiessen,TRUE
OW01,Alpnach,1,Alpnach,TRUE
OW02,Sarnen,1,Sarnen,TRUE
OW03,Melchtal,2,Kerns; Sachseln,TRUE
OW04,Giswil-Lungern,1,Lungern,FALSE
OW05,Engelberg,1,Attinghausen,TRUE
SG01,NA,NA,NA,NA
SG02,NA,NA,NA,NA
SG03,NA,NA,NA,NA
SG04,NA,NA,NA,NA
SG05,NA,NA,NA,NA
SG06,Gaiserwald,1,Gaiserwald,TRUE
SG07,Goldach-Eggen,2,Goldach; Untereggen,TRUE
SG08,Flawil-Degersheim,2,Degersheim; Flawil,TRUE
SG09,Gossau,1,Niederbüren,TRUE
SG10,Waldkirch,3,Andwil (SG); Gossau (SG); Waldkirch,TRUE
SG11,Wittenbach-Muolen,4,Berg (SG); Häggenschwil; Muolen; Wittenbach,TRUE
SG12,Steinach-Mörschwil,3,Mörschwil; Steinach; Tübach,TRUE
SG13,Rorschach,1,Rorschach,FALSE
SG14,Rheineck,2,Rheineck; Thal,TRUE
SG15,NA,NA,NA,NA
SG16,Heerbrugg,3,Au (SG); Berneck; Widnau,TRUE
SG17,Rebstein,3,Balgach; Marbach (SG); Rebstein,TRUE
SG18,Widnau-Diepoldsau,1,Diepoldsau,TRUE
SG19,Altstätten,2,Altstätten; Eichberg,TRUE
SG20,Rheintal,2,Oberriet (SG); Rüthi (SG),TRUE
SG21,Gams-Sennwald,3,Buchs (SG); Gams; Sennwald,TRUE
SG22,Werdenberg,1,Grabs,TRUE
SG23,Wartau,2,Sevelen; Wartau,TRUE
SG24,Bad Ragaz - Taminatal,3,Bad Ragaz; Pfäfers; Vilters-Wangs,FALSE
SG25,Sargans - Weisstannental,2,Mels; Sargans,FALSE
SG26,Flums - Flumserberg,3,Flums; Quarten; Walenstadt,TRUE
SG27,Walensee,2,Amden; Weesen,FALSE
SG28,Eschenbach,2,Eschenbach (SG); Rapperswil-Jona,TRUE
SG29,Uznach,3,Schmerikon; Tuggen; Uznach,TRUE
SG30,NA,NA,NA,NA
SG31,Gaster,3,Benken (SG); Kaltbrunn; Schänis,TRUE
SG32,Rickenpass,1,Gommiswald,TRUE
SG33,Necker,2,Lütisburg; Neckertal,TRUE
SG34,Mosnang,2,Bütschwil-Ganterschwil; Mosnang,TRUE
SG35,Wattwil,2,Lichtensteig; Wattwil,TRUE
SG36,Obertoggenburg,3,Ebnat-Kappel; Nesslau; Wildhaus-Alt St. Johann,TRUE
SG37,Niederuzwil-Oberbüren,1,Oberbüren,TRUE
SG38,Untertoggenburg,2,Jonschwil; Uzwil,TRUE
SG39,Uzwil,1,Oberuzwil,TRUE
SG40,Wil,1,Wil (SG),TRUE
SG41,Zuzwil,2,Niederhelfenschwil; Zuzwil (SG),TRUE
SG42,Kirchberg,1,Kirchberg (SG),TRUE
SH01,Schaffhausen-Stadt,3,Büttenhardt; Neuhausen am Rheinfall; Schaffhausen,TRUE
SH02,NA,NA,NA,NA
SH03,NA,NA,NA,NA
SH04,Klettgau,5,Beringen; Löhningen; Neunkirch; Trasadingen; Wilchingen,FALSE
SH05,Randen,8,Bargen (SH); Beggingen; Gächlingen; Hallau; Merishausen; Oberhallau; Schleitheim; Siblingen,FALSE
SH06,Reiat,4,Dörflingen; Lohn (SH); Stetten (SH); Thayngen,FALSE
SH07,Stein am Rhein,4,Buch (SH); Hemishofen; Ramsen; Stein am Rhein,FALSE
SH08,Buchberg,2,Buchberg; Rüdlingen,FALSE
SO01,Grenchen,1,Grenchen,FALSE
SO02,Bettlach,1,Bettlach,FALSE
SO03,Aeusseres Schwarzbubenland,4,Hofstetten-Flüh; Metzerlen-Mariastein; Rodersdorf; Witterswil,FALSE
SO04,Dorneck,7,Büren (SO); Dornach; Gempen; Himmelried; Hochwald; Nuglar-St. Pantaleon; Seewen,TRUE
SO05,Thierstein,8,Büsserach; Breitenbach; Erschwil; Fehren; Grindel; Meltingen; Nunningen; Zullwil,FALSE
SO06,Erlinsbach-Kienberg,3,Kienberg; Niedergösgen; Stüsslingen,FALSE
SO07,NA,NA,NA,NA
SO08,Unteres Gäu,5,Gunzgen; Hägendorf; Kappel (SO); Rickenbach (SO); Wangen bei Olten,TRUE
SO09,Mittleres Gau,4,Egerkingen; Fulenbach; Härkingen; Neuendorf,FALSE
SO10,Oberes Gäu,5,Kestenholz; Niederbuchsiten; Oberbuchsiten; Oensingen; Wolfwil,TRUE
SO11,Trimbach,4,Hauenstein-Ifenthal; Lostorf; Trimbach; Wisen (SO),TRUE
SO12,Lostorf,2,Obergösgen; Winznau,FALSE
SO13,Dulliken,3,Dulliken; Starrkirch-Wil; Walterswil (SO),TRUE
SO14,Däniken-Schönenwerd,4,Däniken; Eppenberg-Wöschnau; Gretzenbach; Schönenwerd,FALSE
SO15,Balsthal-Passwang,5,Aedermannsdorf; Balsthal; Laupersdorf; Mümliswil-Ramiswil; Matzendorf,TRUE
SO16,Oberes Dünnern,3,Günsberg; Herbetswil; Welschenrohr-Gänsbrunnen,TRUE
SO17,Bellach-Selzach,3,Bellach; Lommiswil; Selzach,TRUE
SO18,Bucheggberg,8,Biberist; Biezwil; Buchegg; Lüsslingen-Nennigkofen; Lüterkofen-Ichertswil; Messen; Schnottwil; Unterramsern,TRUE
SO19,Solothurn,2,Solothurn; Zuchwil,TRUE
